2021-07-01 09:29:19: == Sync Started by User Command
2021-07-01 09:32:04: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_05.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_05.jpg' (93,388)
2021-07-01 09:32:07: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_06.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_06.jpg' (117,790)
2021-07-01 09:32:07: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_07.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_07.jpg' (239,414)
2021-07-01 09:32:09: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_08.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_08.jpg' (137,536)
2021-07-01 09:32:12: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_09.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_09.jpg' (166,339)
2021-07-01 09:32:12: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_10.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_10.jpg' (159,536)
2021-07-01 09:32:13: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/template/shop_11.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/template/shop_11.jpg' (142,283)
2021-07-01 09:32:14: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/custom.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/custom.js' (0)
2021-07-01 09:32:14: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/bootstrap.bundle.min.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/bootstrap.bundle.min.js' (80,821)
2021-07-01 09:32:14: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/jquery-1.11.0.min.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/jquery-1.11.0.min.js' (96,381)
2021-07-01 09:32:14: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/jquery-migrate-1.2.1.min.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/jquery-migrate-1.2.1.min.js' (7,199)
2021-07-01 09:32:14: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/main.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/main.js' (6,372)
2021-07-01 09:32:15: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/menu.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/menu.js' (601)
2021-07-01 09:32:15: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/slick.min.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/slick.min.js' (42,863)
2021-07-01 09:32:15: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/templatemo.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/templatemo.js' (1,558)
2021-07-01 09:32:17: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/js/templatemo.min.js' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/js/templatemo.min.js' (918)
2021-07-01 09:32:17: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/lux.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/lux.css' (166,107)
2021-07-01 09:32:17: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/menu.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/menu.css' (4,032)
2021-07-01 09:32:18: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/style.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/style.css' (26,215)
2021-07-01 09:32:19: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/bootstrap.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/bootstrap.min.css' (153,111)
2021-07-01 09:32:19: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/custom.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/custom.css' (17)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/fontawesome.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/fontawesome.min.css' (59,356)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/slick-theme.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/slick-theme.css' (3,197)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/fontawesome.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/fontawesome.css' (73,625)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/slick-theme.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/slick-theme.min.css' (2,339)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/slick.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/slick.min.css' (1,369)
2021-07-01 09:32:20: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/templatemo.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/templatemo.css' (5,656)
2021-07-01 09:32:21: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/template_css/templatemo.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/template_css/templatemo.min.css' (3,651)
2021-07-01 09:32:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.css.map' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.css.map' (190,330)
2021-07-01 09:32:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.min.css' (51,503)
2021-07-01 09:32:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.css' (70,726)
2021-07-01 09:32:26: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.css' (70,800)
2021-07-01 09:32:27: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.min.css.map' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.min.css.map' (115,787)
2021-07-01 09:32:27: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.css.map' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.css.map' (190,334)
2021-07-01 09:32:28: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.min.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-grid.rtl.min.css' (51,578)
2021-07-01 09:32:29: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-reboot.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-reboot.css' (5,882)
2021-07-01 09:32:29: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-reboot.css.map' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/vendor/bootstrap/css/bootstrap-reboot.css.map' (99,049)
